full_name,last_name,party,function,role,cabinet,start_date,end_date
Gerard Veldkamp,Veldkamp,KVP,Staatssecretaris,Economische Zaken,Beel II,22 december 1958,18 mei 1959
Herman Witte,Witte,KVP,Minister,Volkshuisvesting en Bouwnijverheid,Beel II,22 december 1958,18 mei 1959
Jelle Zijlstra,Zijlstra,ARP,Minister,Financiën,Beel II,22 december 1958,18 mei 1959
Jelle Zijlstra,Zijlstra,ARP,Minister,Economische Zaken,Beel II,22 december 1958,18 mei 1959
Jan van Aartsen,van Aartsen,ARP,Minister,Verkeer en Waterstaat,Beel II,22 december 1958,18 mei 1959
Albert Beerman,Beerman,CHU,Minister,Justitie,De Quay,19 mei 1959,23 juli 1963
Jo Cals,Cals,KVP,Minister,"Onderwijs, Kunsten en Wetenschappen",De Quay,19 mei 1959,23 juli 1963
Marga Klompé,Klompé,KVP,Minister,Maatschappelijk Werk,De Quay,19 mei 1959,23 juli 1963
Henk Korthals,Korthals,VVD,Minister,Viceminister-president,De Quay,19 mei 1959,23 juli 1963
Henk Korthals,Korthals,VVD,Minister,Verkeer en Waterstaat,De Quay,19 mei 1959,23 juli 1963
Henk Korthals,Korthals,VVD,Minister,Zaken Overzee,De Quay,19 mei 1959,31 augustus 1959
Joseph Luns,Luns,KVP,Minister,Buitenlandse Zaken,De Quay,19 mei 1959,23 juli 1963
Victor Marijnen,Marijnen,KVP,Minister,Landbouw en Visserij,De Quay,19 mei 1959,23 juli 1963
Norbert Schmelzer,Schmelzer,KVP,Staatssecretaris,Algemene Zaken,De Quay,19 mei 1959,23 juli 1963
Edzo Toxopeus,Toxopeus,VVD,Minister,Binnenlandse Zaken,De Quay,19 mei 1959,23 juli 1963
Gerard Veldkamp,Veldkamp,KVP,Staatssecretaris,Economische Zaken,De Quay,19 mei 1959,16 juli 1961
Jelle Zijlstra,Zijlstra,ARP,Minister,Financiën,De Quay,19 mei 1959,23 juli 1963
Jan de Pous,de Pous,CHU,Minister,Economische Zaken,De Quay,19 mei 1959,23 juli 1963
Jan de Quay,de Quay,KVP,Minister,Minister-president,De Quay,19 mei 1959,23 juli 1963
Jan de Quay,de Quay,KVP,Minister,Algemene Zaken,De Quay,19 mei 1959,23 juli 1963
Jan van Aartsen,van Aartsen,ARP,Minister,Volkshuisvesting en Bouwnijverheid,De Quay,19 mei 1959,23 juli 1963
Charles van Rooy,van Rooy,KVP,Minister,Sociale Zaken en Volksgezondheid,De Quay,19 mei 1959,2 juli 1961
Sidney van den Bergh,van den Bergh,VVD,Minister,Defensie,De Quay,19 mei 1959,31 juli 1959
Wim van den Berge,van den Berge,Partijloos,Staatssecretaris,Financiën,De Quay,27 mei 1959,23 juli 1963
Bauke Roolvink,Roolvink,ARP,Staatssecretaris,Sociale Zaken en Volksgezondheid,De Quay,15 juni 1959,23 juli 1963
Ynso Scholten,Scholten,CHU,Staatssecretaris,"Onderwijs, Kunsten en Wetenschappen",De Quay,16 juni 1959,23 juli 1963
Gerard Stubenrouch,Stubenrouch,KVP,Staatssecretaris,"Onderwijs, Kunsten en Wetenschappen",De Quay,16 juni 1959,21 april 1962
Michael Calmeyer,Calmeyer,CHU,Staatssecretaris,Defensie,De Quay,19 juni 1959,23 juli 1963
Piet de Jong,de Jong,KVP,Staatssecretaris,Defensie,De Quay,25 juni 1959,23 juli 1963
Jan de Quay,de Quay,KVP,Minister,Defensie,De Quay,1 augustus 1959,3 september 1959
Hans van Houten,van Houten,VVD,Staatssecretaris,Buitenlandse Zaken,De Quay,24 augustus 1959,23 juli 1963
Henk Korthals,Korthals,VVD,Minister,de West,De Quay,1 september 1959,23 juli 1963
Sim Visser,Visser,VVD,Minister,Defensie,De Quay,4 september 1959,23 juli 1963
Eddie Stijkel,Stijkel,VVD,Staatssecretaris,Verkeer en Waterstaat,De Quay,15 oktober 1959,23 juli 1963
Theo Bot,Bot,KVP,Staatssecretaris,Binnenlandse Zaken,De Quay,23 november 1959,23 juli 1963
Victor Marijnen,Marijnen,KVP,Minister,Sociale Zaken en Volksgezondheid,De Quay,3 juli 1961,16 juli 1961
