full_name,last_name,party,start_date,end_date
Vicky Maeijer,Maeijer,PVV,23 maart 2017,7 december 2020
Vicky Maeijer,Maeijer,PVV,30 maart 2021,2 juli 2024
Marit Maij,Maij,PvdA,20 september 2012,22 maart 2017
Ahmed Marcouch,Marcouch,PvdA,17 juni 2010,22 maart 2017
Jan Marijnissen,Marijnissen,SP,30 november 2006,16 juni 2010
Lilian Marijnissen,Marijnissen,SP,23 maart 2017,12 december 2023
Gidi Markuszower,Markuszower,PVV,23 maart 2017,
Maurits von Martels,Martels,CDA,23 maart 2017,30 maart 2021
Claire Martens,Martens,VVD,6 december 2023,
Jan Mastwijk,Mastwijk,CDA,30 november 2006,16 juni 2010
Cees Meeuwis,Meeuwis,VVD,1 september 2009,16 juni 2010
Arnold Merkies,Merkies,PvdA,20 september 2012,22 maart 2017
Wim Meulenkamp,Meulenkamp,VVD,6 december 2023,
Ingrid Michon,Michon,VVD,31 maart 2021,5 december 2023
Ingrid Michon-Derkzen,Michon-Derkzen,VVD,6 december 2023,
Jan Middendorp,Middendorp,VVD,23 maart 2017,30 maart 2021
Fahid Minhas,Minhas,VVD,31 maart 2021,5 december 2023
Mohammed Mohandis,Mohandis,GL-PvdA,2 juni 2022,
Mohammed Mohandis,Mohandis,PvdA,20 september 2012,22 maart 2017
Mohammed Mohandis,Mohandis,PvdA,2 juni 2022,5 december 2023
Jacques Monasch,Monasch,PvdA,17 juni 2010,7 november 2016
Jacques Monasch,Monasch,Lid-Monasch,8 november 2016,22 maart 2017
Jeremy Mooiman,Mooiman,PVV,6 december 2023,
William Moorlag,Moorlag,PvdA,25 oktober 2017,30 maart 2021
Perjan Moors,Moors,VVD,14 januari 2014,22 maart 2017
Edgar Mulder,Mulder,PVV,23 maart 2017,
Agnes Mulder,Mulder,CDA,20 september 2012,9 mei 2023
Anne Mulder,Mulder,VVD,17 juni 2010,17 september 2020
Songül Mutluer,Mutluer,PvdA,17 februari 2022,5 december 2023
Songül Mutluer,Mutluer,GL-PvdA,17 februari 2022,
Helma Neppérus,Neppérus,VVD,30 november 2006,22 maart 2017
Atzo Nicolaï,Nicolaï,VVD,30 november 2006,31 mei 2011
Henk Nijboer,Nijboer,PvdA,20 september 2012,5 december 2023
Henk Nijboer,Nijboer,GL-PvdA,31 maart 2021,5 december 2023
Jeanet Nijhof-Leeuw,Nijhof-Leeuw,PVV,6 december 2023,
Chantal Nijkerken-de Haan,Nijkerken-de Haan,VVD,31 maart 2015,30 maart 2021
Jimme Nordkamp,Nordkamp,GL-PvdA,6 december 2023,
Pieter Omtzigt,Omtzigt,CDA,26 oktober 2010,25 mei 2021
Pieter Omtzigt,Omtzigt,Lid Omtzigt,15 september 2021,5 december 2023
Pieter Omtzigt,Omtzigt,CDA,30 november 2006,16 juni 2010
Pieter Omtzigt,Omtzigt,NSC,6 december 2023,
Astrid Oosenbrug,Oosenbrug,PvdA,20 september 2012,22 maart 2017
Martin Oostenbrink,Oostenbrink,BBB,5 maart 2025,
Henk Jan Ormel,Ormel,CDA,30 november 2006,19 september 2012
Cynthia Ortega,Ortega,CU,17 juni 2010,19 september 2012
Cynthia Ortega-Martijn,Ortega-Martijn,CU,30 november 2006,16 juni 2010
Peter Oskam,Oskam,CDA,20 september 2012,3 januari 2016
Esther Ouwehand,Ouwehand,PvdD,2 februari 2023,
Esther Ouwehand,Ouwehand,PvdD,18 oktober 2016,12 oktober 2022
Esther Ouwehand,Ouwehand,PvdD,30 november 2006,16 november 2015
Hilde Palland,Palland,CDA,29 mei 2019,5 december 2023
